"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"156016","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","","state non-specific","32.79157","-86.82763","Calculated by GIS","Centroid","South Atlantic-Gulf Region","03000000","1991","","","established","","Literature","","","Freshwater","13270","Book","1991","Schwartz, A., and R.W. Henderson.","Amphibians and Reptiles of the West Indies: Descriptions, Distributions, and Natural History.","University of Florida Press, Gainesville.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753385","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Wilkins Creek, headwaters","30.728","-87.895","reported","Accurate","Mobile-Tensaw","03160204","2012","3","13","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753386","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Wilkins Creek, headwaters","30.728","-87.895","reported","Accurate","Mobile-Tensaw","03160204","2012","3","14","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753387","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Wilkins Creek, headwaters","30.728","-87.895","reported","Accurate","Mobile-Tensaw","03160204","2012","3","15","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753388","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Wilkins Creek, headwaters","30.728","-87.895","reported","Accurate","Mobile-Tensaw","03160204","2012","5","8","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753394","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Bay Minette Creek, headwaters","30.859","-87.779","reported","Accurate","Mobile-Tensaw","03160204","2012","5","8","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753399","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Rock Creek headwaters, in Robertsdale","30.554","-87.707","reported","Accurate","Perdido","03140106","2012","5","8","unknown","multiple individuals recorded.","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753403","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Silver Creek tributary, just north of Silverhill","30.554","-87.744","reported","Accurate","Mobile Bay","03160205","2012","5","8","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753408","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","headwaters of tributary to Palmetto Creek","30.369","-87.515","reported","Accurate","Perdido Bay","03140107","2012","5","8","unknown","","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753389","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","AL","Baldwin","Wilkins Creek, headwaters","30.728","-87.895","reported","Accurate","Mobile-Tensaw","03160204","2012","5","9","unknown","multiple individuals recorded.","Literature","","","Freshwater","27163","Journal Article","2014","Alix, D.M., C. Guyer, and C.J. Anderson","Expansion of the range of the introduced Greenhouse Frog, <em>Eleutherodactylus planirostris</em>, in coastal Alabama.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
