Date,Year,Temp,ToBottom,ToBottomNum,TowLength,VolConc,VolSubSample,TotalCount,Diameter,Density
5/18/94,1994,10.5,FALSE,0,7.5,50,50,0,13,0
5/23/94,1994,9.3,FALSE,0,5,50,50,0,13,0
5/23/94,1994,16.9,FALSE,0,5,50,50,0,13,0
5/23/94,1994,12.3,FALSE,0,5,50,50,0,13,0
5/24/94,1994,10,FALSE,0,6,50,50,0,13,0
5/24/94,1994,10,FALSE,0,5,50,50,0,13,0
5/31/94,1994,14,FALSE,0,5,50,50,0,13,0
6/1/94,1994,13.6,FALSE,0,3,50,50,0,13,0
6/1/94,1994,13.6,FALSE,0,3,50,50,0,13,0
6/1/94,1994,12.8,FALSE,0,7.2,50,50,0,13,0
6/2/94,1994,15.6,FALSE,0,6,50,50,1,13,13
6/2/94,1994,18,FALSE,0,6,50,50,3,13,38
6/7/94,1994,16.8,FALSE,0,9,50,50,3,13,25
6/7/94,1994,19.1,FALSE,0,13,50,50,3,13,17
6/7/94,1994,11.4,FALSE,0,4.5,50,50,0,13,0
6/9/94,1994,14.2,FALSE,0,8,50,50,0,13,0
6/9/94,1994,15.8,FALSE,0,9,50,50,0,13,0
6/9/94,1994,12.9,FALSE,0,10,50,50,0,13,0
6/15/94,1994,24.2,FALSE,0,5,50,50,12,13,181
6/16/94,1994,20.1,FALSE,0,15,50,50,0,13,0
6/16/94,1994,16.6,FALSE,0,52,50,50,0,13,0
6/16/94,1994,19.8,FALSE,0,11,50,50,0,13,0
6/16/94,1994,20.1,FALSE,0,15,50,50,0,13,0
6/16/94,1994,17.8,FALSE,0,100,50,50,0,13,0
6/16/94,1994,19.6,FALSE,0,34,50,50,0,13,0
6/17/94,1994,22,FALSE,0,8,50,50,0,13,0
6/17/94,1994,22,FALSE,0,10,50,50,0,13,0
6/17/94,1994,18.9,FALSE,0,10,50,50,0,13,0
6/23/94,1994,24,FALSE,0,8,50,50,0,13,0
6/23/94,1994,24,FALSE,0,10,50,50,0,13,0
6/23/94,1994,24,FALSE,0,10,50,50,19,13,143
6/23/94,1994,24,FALSE,0,5,50,50,0,13,0
7/7/94,1994,24.1,FALSE,0,10,50,50,0,13,0
7/7/94,1994,24.1,FALSE,0,10,50,50,0,13,0
7/7/94,1994,20.2,FALSE,0,10,50,50,3,13,23
7/7/94,1994,20.2,FALSE,0,10,50,50,6,13,45
7/7/94,1994,17.4,FALSE,0,9,50,50,0,13,0
7/7/94,1994,19.7,FALSE,0,10,50,50,0,13,0
7/8/94,1994,22,FALSE,0,26,50,50,0,13,0
7/8/94,1994,23.7,FALSE,0,6,50,50,0,13,0
7/8/94,1994,24.1,FALSE,0,2.5,50,50,0,13,0
7/8/94,1994,22.6,FALSE,0,49,50,50,0,13,0
7/8/94,1994,21.2,FALSE,0,11,50,50,0,13,0
7/11/94,1994,22,FALSE,0,5,50,50,0,13,0
7/11/94,1994,24.5,FALSE,0,3.5,50,50,0,13,0
7/12/94,1994,21.9,FALSE,0,45,50,50,0,13,0
7/12/94,1994,24.4,FALSE,0,5,50,50,11,13,166
7/12/94,1994,24.2,FALSE,0,4,50,50,4,13,75
7/19/94,1994,23.8,FALSE,0,12,50,50,1,13,6
7/19/94,1994,21.5,FALSE,0,7,50,50,0,13,0
7/19/94,1994,22.2,FALSE,0,9,50,50,3,13,25
7/19/94,1994,22.3,FALSE,0,10,50,50,0,13,0
7/21/94,1994,21.8,FALSE,0,50,50,50,0,13,0
7/21/94,1994,24.2,FALSE,0,5,50,50,0,13,0
7/21/94,1994,24.3,FALSE,0,28,50,50,0,13,0
7/21/94,1994,22.6,FALSE,0,12,50,50,0,13,0
7/21/94,1994,22.3,FALSE,0,14,50,50,0,13,0
7/21/94,1994,26,FALSE,0,3,50,50,0,13,0
7/21/94,1994,21.5,FALSE,0,100,50,50,0,13,0
7/21/94,1994,23,FALSE,0,45,50,50,0,13,0
7/21/94,1994,25.4,FALSE,0,5.5,50,50,0,13,0
7/25/94,1994,25,FALSE,0,10,50,50,0,13,0
7/25/94,1994,23,FALSE,0,9,50,50,0,13,0
7/25/94,1994,23.8,FALSE,0,10,50,50,0,13,0
7/25/94,1994,24.8,FALSE,0,8,50,50,0,13,0
7/25/94,1994,24.2,FALSE,0,5,50,50,0,13,0
7/26/94,1994,24.2,FALSE,0,4,50,50,0,13,0
7/26/94,1994,23.4,FALSE,0,5,50,50,0,13,0
7/27/94,1994,24.8,FALSE,0,5,52,5,12,13,1880
7/27/94,1994,23.8,FALSE,0,5,50,50,0,13,0
7/27/94,1994,24.8,TRUE,1,4,50,50,0,13,0
7/27/94,1994,21,FALSE,0,48,50,50,2,13,3
8/2/94,1994,21.8,FALSE,0,11,50,5,16,13,1096
8/2/94,1994,21.8,FALSE,0,10.5,48,5,29,13,1998
8/2/94,1994,20.8,FALSE,0,3.5,50,50,13,13,280
8/2/94,1994,20.8,FALSE,0,3.5,50,50,3,13,65
8/2/94,1994,22,FALSE,0,18,50,50,0,13,0
8/3/94,1994,22.4,FALSE,0,3,50,50,0,13,0
8/3/94,1994,22,FALSE,0,5,50,50,0,13,0
8/3/94,1994,20,FALSE,0,12,50,50,0,13,0
8/3/94,1994,24,FALSE,0,11,50,50,0,13,0
8/3/94,1994,21.5,FALSE,0,6,50,50,0,13,0
8/3/94,1994,23,FALSE,0,5,50,50,0,13,0
8/11/94,1994,19.9,FALSE,0,12,50,50,0,13,0
8/11/94,1994,20.4,FALSE,0,45,50,50,0,13,0
8/11/94,1994,21,FALSE,0,28,50,50,0,13,0
8/20/94,1994,23,FALSE,0,13,50,50,0,13,0
8/20/94,1994,20,FALSE,0,10,50,50,0,13,0
8/20/94,1994,21.4,FALSE,0,8,50,50,0,13,0
8/20/94,1994,21.3,FALSE,0,8,50,50,0,13,0
8/20/94,1994,21.8,FALSE,0,8.5,50,50,0,13,0
8/22/94,1994,20,FALSE,0,13,54,5,22,13,1377
8/22/94,1994,20.5,FALSE,0,5,50,50,0,13,0
8/22/94,1994,18.2,FALSE,0,10,50,50,0,13,0
8/22/94,1994,20.2,FALSE,0,12,50,50,0,13,0
8/22/94,1994,18.2,FALSE,0,13,50,50,0,13,0
8/24/94,1994,20.2,FALSE,0,9,50,50,0,13,0
8/24/94,1994,20,FALSE,0,3.5,50,50,0,13,0
8/25/94,1994,22,FALSE,0,8,50,50,2,13,19
8/26/94,1994,19.1,FALSE,0,45,50,50,1,13,2
8/26/94,1994,20.2,FALSE,0,5,50,50,3,13,45
9/1/94,1994,19.4,FALSE,0,2.9,50,50,3,13,78
9/1/94,1994,18.7,FALSE,0,6,50,50,0,13,0
9/1/94,1994,18,FALSE,0,10,50,50,1,13,8
9/1/94,1994,17.8,FALSE,0,10,50,50,0,13,0
9/1/94,1994,17.8,FALSE,0,9,50,50,0,13,0
9/1/94,1994,19.8,FALSE,0,4,50,50,0,13,0
9/1/94,1994,19.3,FALSE,0,4.5,50,50,0,13,0
9/1/94,1994,19.8,FALSE,0,4,50,50,0,13,0
9/1/94,1994,18.5,FALSE,0,7,50,50,0,13,0
9/1/94,1994,18.5,FALSE,0,6,50,50,0,13,0
9/1/94,1994,19.8,FALSE,0,7,47,5,35,13,3541
9/1/94,1994,19.8,FALSE,0,6,20,5,29,13,1457
9/1/94,1994,18.2,FALSE,0,8,50,50,2,13,19
9/2/94,1994,19,FALSE,0,5.5,53,5,10,13,1452
9/2/94,1994,18.8,FALSE,0,44,50,50,1,13,2
9/2/94,1994,18.9,FALSE,0,5,50,50,4,13,60
9/7/94,1994,16.4,FALSE,0,5.5,50,50,1,13,14
9/7/94,1994,16,FALSE,0,3.5,50,50,1,13,22
9/8/94,1994,16.5,FALSE,0,50,50,50,0,13,0
9/8/94,1994,17.6,FALSE,0,40,50,50,0,13,0
9/8/94,1994,16.7,FALSE,0,12,50,50,1,13,6
9/8/94,1994,17.3,FALSE,0,28,50,50,0,13,0
9/8/94,1994,17.3,FALSE,0,28,50,50,0,13,0
9/14/94,1994,16.2,FALSE,0,11,50,50,0,13,0
9/14/94,1994,16.2,FALSE,0,10,50,50,0,13,0
9/14/94,1994,17.8,FALSE,0,13,50,50,0,13,0
9/14/94,1994,16,FALSE,0,7,50,50,0,13,0
9/14/94,1994,16.9,FALSE,0,12,50,50,0,13,0
9/14/94,1994,16.9,FALSE,0,12,50,50,0,13,0
9/14/94,1994,16,FALSE,0,5,50,50,0,13,0
9/15/94,1994,16.1,FALSE,0,3.7,50,50,0,13,0
9/15/94,1994,16.2,FALSE,0,13.5,50,50,0,13,0
9/15/94,1994,16.2,FALSE,0,13,50,50,0,13,0
9/15/94,1994,17.2,FALSE,0,13.2,50,50,3,13,17
9/15/94,1994,17.2,FALSE,0,11,50,50,1,13,7
9/19/94,1994,16,FALSE,0,3,50,50,0,13,0
9/21/94,1994,17.8,FALSE,0,9,44,5,4,13,295
9/21/94,1994,18.8,FALSE,0,4,50,50,14,13,264
9/21/94,1994,17.5,FALSE,0,45,50,50,0,13,0
9/21/94,1994,18.5,FALSE,0,4,50,50,0,13,0
9/22/94,1994,16.1,FALSE,0,5,50,50,0,13,0
9/28/94,1994,16.9,FALSE,0,10,50,50,0,13,0
