,Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Drainage Name,Year,Month,Day,cluster
0,615085,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Winnipeg Beach, Manitoba, Canada",0.8815345637887251,-1.6924000480324992,,2013,10.0,17.0,4
1,615297,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Gimli Harbour, Manitoba, Canada",0.8836919652771155,-1.6926824423054718,,2013,10.0,11.0,4
2,615300,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Willow Point, Manitoba, Canada",0.8832039712182577,-1.692233020023083,,2013,10.0,,4
3,615301,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Silver Harbour, Manitoba, Canada",0.8868298927392758,-1.6923281404673167,,2013,10.0,,4
4,615302,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Balsam Bay Harbour, Manitoba, Canada",0.8809341705260391,-1.6857012998304195,,2013,10.0,,4
5,646547,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",0.8806542197140192,-1.6875251688987536,,2014,8.0,,4
6,646549,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",0.8848082778666909,-1.689327395884363,,2014,8.0,,4
7,646550,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",0.8837207632097733,-1.6921084035144909,,2014,8.0,,4
8,1247723,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Cedar Lake, immediately west of Grands Rapids, Manitoba, Canada",0.9281002972977843,-1.7343066251033592,,2015,,,4
9,1247724,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Red River, portion of river in Manitoba, Canada",0.863269169567829,-1.6976109030472535,Middle Red,2015,,,4
10,1651170,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Sipiwesk Lake, Manitoba, Canada",0.9596265286424083,-1.7069986800278805,,2020,7.0,,4
11,116825,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy E13",0.7304202652560894,-1.446062916049203,Lake Erie,1992,12.0,,3
12,116862,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Cassady Point buoy EA2",0.7476990541723647,-1.3829447998330815,Lake Erie,1992,12.0,,3
