Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
615085,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Winnipeg Beach, Manitoba, Canada",50.50821,-96.96738,reported,Accurate,,,2013,10,17,unknown,Province of Manitoba news release. Found on hull of a private boat and a dock. A treatment of liquid potash was applied in May 2014.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615297,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Gimli Harbour, Manitoba, Canada",50.63182,-96.98356,reported,Accurate,,,2013,10,11,unknown,A single adult was first discovered on a boat hull as it was being removed for the winter. Low density. A treatment of liquid potash was applied in May 2014.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615300,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Willow Point, Manitoba, Canada",50.60386,-96.95781,reported,Accurate,,,2013,10,,unknown,Low density. A treatment of liquid potash was applied in May 2014.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615301,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Silver Harbour, Manitoba, Canada",50.81161,-96.96326,reported,Accurate,,,2013,10,,unknown,Low density. A treatment of liquid potash was applied in May 2014.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615302,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, at Balsam Bay Harbour, Manitoba, Canada",50.47381,-96.58357,reported,Accurate,,,2013,10,,unknown,Low density. A treatment of liquid potash was applied in June 2014.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646547,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",50.45777,-96.68807,reported,Accurate,,,2014,8,,unknown,"6.1 m depth, 6 vertical hauls, bottom type is fine mud.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646549,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",50.69578,-96.79133,reported,Accurate,,,2014,8,,unknown,"8.84 m depth, 4 vertical hauls, bottom type is fine mud.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646550,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Lake Winnipeg, Manitoba, Canada",50.63347,-96.95067,reported,Accurate,,,2014,8,,unknown,"8.84 m depth, 4 vertical hauls, bottom type is fine mud.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247723,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Cedar Lake, immediately west of Grands Rapids, Manitoba, Canada",53.17623,-99.36845,Map derived,Approximate,,,2015,,,unknown,"Manitoba Media Bulletin, Aquatic Invasive Species Update Bulletin #17, October 15, 2015.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247724,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,Manitoba,,"Red River, portion of river in Manitoba, Canada",49.46168,-97.26594,Map derived,Approximate,Middle Red,9020311,2015,,,unknown,"Location is approximate. Source: Manitoba Media Bulletin, Aquatic Invasive Species Update Bulletin #18, October 22, 2015.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
