industry_index,sector,industry,business_classification,color_group,annual_payroll,employment,avg_salary,avg_salary_f
18,S72,Accommodation and Food Services,Small Business,1,2.41563E+12,149280162,16181.88366,"$16,182 "
18,L72,Accommodation and Food Services,Large Business,2,9.63903E+11,49750865,19374.59688,"$19,375 "
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,1,2.4618E+12,71473059,34443.75743,"$34,444 "
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2,2.48355E+12,67111037,37006.53632,"$37,007 "
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2,7447105000,196320,37933.50143,"$37,934 "
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,1,96906539000,2617866,37017.37942,"$37,017 "
17,S71,"Arts, Entertainment, and Recreation",Small Business,1,8.89812E+11,26519148,33553.55006,"$33,554 "
17,L71,"Arts, Entertainment, and Recreation",Large Business,2,2.45392E+11,7806521,31434.26195,"$31,434 "
4,L23,Construction,Large Business,2,6.7751E+11,9875321,68606.36672,"$68,606 "
4,S23,Construction,Small Business,1,4.93665E+12,97949385,50399.97755,"$50,400 "
15,S61,Educational Services,Small Business,1,9.35527E+11,30265925,30910.24755,"$30,910 "
15,L61,Educational Services,Large Business,2,7.50128E+11,19212845,39043.0361,"$39,043 "
10,L52,Finance and Insurance,Large Business,2,3.98513E+12,41985063,94917.81792,"$94,918 "
10,S52,Finance and Insurance,Small Business,1,2.8807E+12,38970841,73919.34762,"$73,919 "
16,L62,Health Care and Social Assistance,Large Business,2,4.98822E+12,100350825,49707.81599,"$49,708 "
16,S62,Health Care and Social Assistance,Small Business,1,6.66997E+12,170526425,39114.02032,"$39,114 "
21,S99,Industries not classified,Small Business,1,4101203000,187562,21865.85236,"$21,866 "
9,L51,Information,Large Business,2,2.13065E+12,24221667,87964.722,"$87,965 "
9,S51,Information,Small Business,1,1.18234E+12,17683729,66860.13838,"$66,860 "
13,S55,Management of Companies and Enterprises,Small Business,1,5.75832E+11,7673434,75042.2352,"$75,042 "
13,L55,Management of Companies and Enterprises,Large Business,2,2.92042E+12,27109488,107726.7478,"$107,727 "
5,L31-33,Manufacturing,Large Business,2,3.82183E+12,63869661,59837.98425,"$59,838 "
5,S31-33,Manufacturing,Small Business,1,4.65726E+12,103028251,45203.68051,"$45,204 "
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2,3.51695E+11,3822123,92015.56125,"$92,016 "
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,1,3.81182E+11,5347877,71277.25899,"$71,277 "
19,S81,Other Services (except Public Administration),Small Business,1,2.53284E+12,91265170,27752.48968,"$27,752 "
19,L81,Other Services (except Public Administration),Large Business,2,2.88332E+11,7765088,37131.85466,"$37,132 "
12,L54,"Professional, Scientific, and Technical Services",Large Business,2,2.9441E+12,33866943,86931.51351,"$86,932 "
12,S54,"Professional, Scientific, and Technical Services",Small Business,1,6.57472E+12,98146440,66988.92564,"$66,989 "
11,S53,Real Estate and Rental and Leasing,Small Business,1,1.20847E+12,27660057,43690.03553,"$43,690 "
11,L53,Real Estate and Rental and Leasing,Large Business,2,3.4268E+11,6493854,52769.91306,"$52,770 "
7,S44-45,Retail Trade,Small Business,1,3.30762E+12,110048686,30055.97065,"$30,056 "
7,L44-45,Retail Trade,Large Business,2,2.28231E+12,97170189,23487.72584,"$23,488 "
8,L48-49,Transportation and Warehousing,Large Business,2,1.33863E+12,27954813,47885.49668,"$47,885 "
8,S48-49,Transportation and Warehousing,Small Business,1,1.25332E+12,31778132,39439.69063,"$39,440 "
3,S22,Utilities,Small Business,1,1.46592E+11,2109553,69489.45488,"$69,489 "
3,L22,Utilities,Large Business,2,3.45943E+11,3426571,100959.0465,"$100,959 "
6,L42,Wholesale Trade,Large Business,2,1.90741E+12,24602966,77527.45084,"$77,527 "
6,S42,Wholesale Trade,Small Business,1,3.84481E+12,69133300,55614.39317,"$55,614 "
