YEAR,STATE_DESCRIPTION,STATE_CODE,NAICS_CODE,INDUSTRY,BUSINESS_CLASSIFICATION_S,ANNUAL_PAYROLL_S,EMPLOYMENT_S,AVG_SALARY_S,BUSINESS_CLASSIFICATION_B,ANNUAL_PAYROLL_B,EMPLOYMENT_B,AVG_SALARY_B
2008,Alabama,AL,11,"Agriculture, Forestry, Fishing and Hunting",Small Business,378680000,12154,31156.820799736714,Large Business,19115000.0,351.0,54458.689458689456
2008,North Carolina,NC,56,Administrative and Support and Waste Management and Remediation Services,Small Business,5594538000,213590,26192.88356196451,Large Business,4868236000.0,175064.0,27808.321528126857
2008,North Carolina,NC,61,Educational Services,Small Business,1793846000,70524,25435.965061539333,Large Business,1993600000.0,47426.0,42036.014000759074
2008,North Carolina,NC,62,Health Care and Social Assistance,Small Business,18087930000,520956,34720.6481929376,Large Business,11145551000.0,271599.0,41036.78953162567
2008,North Carolina,NC,71,"Arts, Entertainment, and Recreation",Small Business,1976786000,82454,23974.409974046135,Large Business,560691000.0,16378.0,34234.39980461595
2008,North Carolina,NC,72,Accommodation and Food Services,Small Business,5160104000,410422,12572.67885249816,Large Business,2166527000.0,157935.0,13717.839617564188
2008,North Carolina,NC,81,Other Services (except Public Administration),Small Business,5890892000,267394,22030.756112702602,Large Business,479819000.0,16604.0,28897.795711876657
2008,North Dakota,ND,21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,312457000,3860,80947.40932642487,Large Business,323167000.0,4074.0,79324.25135002454
2008,North Dakota,ND,23,Construction,Small Business,1457502000,32128,45365.47559760956,Large Business,138920000.0,1822.0,76245.88364434688
2008,North Dakota,ND,31-33,Manufacturing,Small Business,918642000,26820,34252.12527964206,Large Business,674591000.0,14345.0,47026.2112234228
2008,North Dakota,ND,42,Wholesale Trade,Small Business,1062322000,24090,44098.04898298049,Large Business,320307000.0,6796.0,47131.69511477339
2008,North Dakota,ND,44-45,Retail Trade,Small Business,1182550000,49150,24060.02034587996,Large Business,374586000.0,20393.0,18368.361692737704
2008,North Dakota,ND,48-49,Transportation and Warehousing,Small Business,481420000,13856,34744.515011547344,Large Business,186242000.0,4541.0,41013.43316450121
2008,North Dakota,ND,51,Information,Small Business,258706000,7136,36253.64349775785,Large Business,228393000.0,4150.0,55034.4578313253
2008,North Dakota,ND,52,Finance and Insurance,Small Business,696610000,16378,42533.276346318235,Large Business,480701000.0,10964.0,43843.578985771615
2008,North Dakota,ND,54,"Professional, Scientific, and Technical Services",Small Business,718012000,15614,45985.14153964391,Large Business,117863000.0,3326.0,35436.86109440769
2008,North Dakota,ND,55,Management of Companies and Enterprises,Small Business,86496000,1307,66179.03596021423,Large Business,269540000.0,11932.0,22589.674824002683
2008,North Dakota,ND,56,Administrative and Support and Waste Management and Remediation Services,Small Business,316350000,14242,22212.470158685577,Large Business,127609000.0,5408.0,23596.33875739645
2008,North Dakota,ND,61,Educational Services,Small Business,137952000,7194,19175.979983319434,Large Business,24395000.0,1139.0,21417.910447761195
2008,North Dakota,ND,62,Health Care and Social Assistance,Small Business,1343836000,50120,26812.37031125299,Large Business,1182776000.0,26875.0,44010.26976744186
2008,North Dakota,ND,72,Accommodation and Food Services,Small Business,599740000,52216,11485.751493795005,Large Business,79797000.0,6084.0,13115.877712031559
2008,North Dakota,ND,81,Other Services (except Public Administration),Small Business,457890000,24740,18508.084074373484,Large Business,29256000.0,921.0,31765.472312703583
2008,North Carolina,NC,55,Management of Companies and Enterprises,Small Business,1202954000,21375,56278.54970760234,Large Business,5865064000.0,64358.0,91131.85617949594
2008,Ohio,OH,11,"Agriculture, Forestry, Fishing and Hunting",Small Business,57011000,2054,27756.085686465434,Large Business,5343000.0,126.0,42404.76190476191
2008,North Carolina,NC,54,"Professional, Scientific, and Technical Services",Small Business,12107942000,236176,51266.6062597385,Large Business,5527350000.0,72286.0,76465.01397227679
2008,North Carolina,NC,52,Finance and Insurance,Small Business,4493354000,87070,51606.22487653612,Large Business,9323296000.0,131162.0,71082.29517695674
2008,New York,NY,22,Utilities,Small Business,468310000,5478,85489.22964585615,Large Business,3527928000.0,36879.0,95662.24680712601
